,invivo_lfc,invitro_lfc,invivo_pval,invitro_pval,concordant,lfc_diff,lfc_mean
ENSRNOG00000000000,-2.7547712559446382,-0.5868249261875056,0.006469576140471889,0.5233060377607651,True,2.1679463297571324,-1.670798091066072
ENSRNOG00000000001,-2.779691534474969,-2.590698282899768,0.03143618268651215,0.021107942935797513,True,0.18899325157520108,-2.685194908687368
ENSRNOG00000000002,-3.017995947503268,-2.754254494622087,0.00162643713957999,0.033502928924297695,True,0.263741452881181,-2.8861252210626773
ENSRNOG00000000003,-2.3429102428065,-1.1948520994579521,0.030058312632998796,0.017664725663767467,True,1.148058143348548,-1.768881171132226
ENSRNOG00000000004,-2.4592122873771447,-0.0683556874213409,0.005455789597513689,0.24936462636303422,True,2.3908565999558036,-1.263783987399243
ENSRNOG00000000005,-3.554389818961651,-1.2136952531657348,0.005062133368434278,0.013186987258198522,True,2.340694565795916,-2.384042536063693
ENSRNOG00000000006,-3.5909155971436144,-3.756267428846565,0.005791372052885532,0.03456241209059421,True,-0.16535183170295076,-3.67359151299509
ENSRNOG00000000007,-2.3451893280765477,-1.8720085115835077,0.0043112001664762116,0.056147093856899526,True,0.47318081649304,-2.108598919830028
ENSRNOG00000000008,-3.089171857276721,-3.0777705953721584,0.007055436391640593,0.023066466674615305,True,0.011401261904562698,-3.0834712263244395
ENSRNOG00000000009,-2.4187753069398057,-1.9256553567300891,0.013378477621593343,0.078460553864441,True,0.49311995020971655,-2.1722153318349475
ENSRNOG00000000010,-2.131441053134487,0.23525057970567076,0.006218759631579393,0.04107841485315091,False,2.366691632840158,-0.9480952367144082
ENSRNOG00000000011,-3.3625717024433355,-3.7802794388836363,0.028577856781479366,0.07970507860179268,True,-0.4177077364403008,-3.571425570663486
ENSRNOG00000000012,-3.446922352745711,-4.043715757811283,0.004506554683216056,0.03330899611532241,True,-0.5967934050655717,-3.7453190552784967
ENSRNOG00000000013,-1.595340990562823,-1.9548137346880023,0.008435931327294196,0.000249185041252381,True,-0.35947274412517927,-1.7750773626254128
ENSRNOG00000000014,-2.3890575302225248,-1.3228829878465245,0.0009182523348496034,0.022012570315378156,True,1.0661745423760003,-1.8559702590345246
ENSRNOG00000000015,-2.8515443940039624,-1.2872576262499,0.01796843638522661,0.0023075003647998584,True,1.5642867677540624,-2.0694010101269313
ENSRNOG00000000016,-3.160364271587758,-1.6897268480750656,0.0115748034564401,0.0030712593027825666,True,1.4706374235126924,-2.425045559831412
ENSRNOG00000000017,-2.9062645093443678,-0.7417901929616029,0.02136308100805398,0.013531752933177777,True,2.1644743163827647,-1.8240273511529854
ENSRNOG00000000018,-3.314343401667986,-4.1049933870798565,0.0023471255498568417,0.04174173523358475,True,-0.7906499854118705,-3.7096683943739213
ENSRNOG00000000019,-2.0699526955456458,-0.1598144676941553,0.0016243299912040883,0.298598153896101,True,1.9101382278514905,-1.1148835816199005
ENSRNOG00000000020,-3.0660506921637927,-2.4126145567199853,0.023798858897894692,0.014525972604531312,True,0.6534361354438074,-2.739332624441889
ENSRNOG00000000021,-1.9438792470702397,-0.553768862712652,0.007010976379731644,0.10634988407610307,True,1.3901103843575877,-1.248824054891446
ENSRNOG00000000022,-2.840377351862007,-3.3210532973675297,0.040756652192201245,0.04125208937508782,True,-0.48067594550552295,-3.0807153246147685
ENSRNOG00000000023,-3.226010110170389,-2.188482343056341,0.020520514882936384,0.00639938058629027,True,1.0375277671140477,-2.707246226613365
ENSRNOG00000000024,-2.855780952808281,-1.6938467387911669,0.0024073493405436163,0.0012147952102527465,True,1.161934214017114,-2.274813845799724
ENSRNOG00000000025,-4.17450006650085,-1.6251214558472393,0.0019640254097853843,0.007697852807189856,True,2.549378610653611,-2.8998107611740447
ENSRNOG00000000026,-2.6724611460044043,-3.4817909330211485,0.019980097419666682,0.052942148982183836,True,-0.8093297870167442,-3.0771260395127764
ENSRNOG00000000027,-2.7020715146780954,-1.8051184540194556,0.022113420977002043,0.013868677346008681,True,0.8969530606586398,-2.2535949843487755
ENSRNOG00000000028,-2.1051543520712195,-2.5710020151076796,0.01897768386190419,0.04459878773216116,True,-0.4658476630364601,-2.3380781835894497
ENSRNOG00000000029,-3.7317829567900276,-2.00684156419853,0.01816555234681646,0.08544350304820147,True,1.7249413925914974,-2.869312260494279
ENSRNOG00000000030,-1.9028801834818716,-0.47788116148874027,0.03661694904542587,0.006190226227003755,True,1.4249990219931314,-1.1903806724853059
ENSRNOG00000000031,-2.1076404230014063,-0.0816667330074643,0.032115466519189874,0.1655308405297136,True,2.025973689993942,-1.0946535780044353
ENSRNOG00000000032,-1.8487738617808025,-1.818947153034739,0.009420729219175533,0.03978291337638259,True,0.029826708746063524,-1.8338605074077707
ENSRNOG00000000033,-2.6316328256024826,-0.8159225114364584,0.021638089311422953,0.03391380422227953,True,1.815710314166024,-1.7237776685194706
ENSRNOG00000000034,-1.9916618995383468,0.07461657516483,0.011954647100142348,0.19546131563429034,False,2.066278474703177,-0.9585226621867584
ENSRNOG00000000035,-3.482746420944143,-4.093676884590257,0.002103539875590259,0.010112077490677801,True,-0.6109304636461141,-3.7882116527672003
ENSRNOG00000000036,-2.1721714608772804,-0.8341144272931778,0.037345721812295674,0.18667478340705215,True,1.3380570335841027,-1.503142944085229
ENSRNOG00000000037,-3.0626976572599673,-1.0761975904676668,0.0021971335977638952,0.0069727452315973435,True,1.9865000667923005,-2.069447623863817
ENSRNOG00000000038,-3.590841099453762,-2.7134346533353675,0.02488758294260324,0.0639129407153849,True,0.8774064461183944,-3.1521378763945647
ENSRNOG00000000039,-3.2744843108986164,-3.497961587812423,0.0019296242678864123,0.07775928936244679,True,-0.22347727691380648,-3.3862229493555196
ENSRNOG00000000040,-2.596681316822438,-0.7756397515241114,0.003939559099039286,0.022807605361090433,True,1.8210415652983265,-1.6861605341732746
ENSRNOG00000000041,-3.094579524930562,-3.3637983458884273,0.024757879444579092,0.06015297799196224,True,-0.2692188209578652,-3.2291889354094945
ENSRNOG00000000042,-2.3743558809825203,-1.8018310053045614,0.005556206886141145,0.019055516758677712,True,0.5725248756779588,-2.0880934431435407
ENSRNOG00000000043,-3.6849425330024106,-2.547891183135135,0.008755100410420368,0.004505959787676641,True,1.1370513498672756,-3.1164168580687726
ENSRNOG00000000044,-3.876258526169517,-1.884540843506072,0.012938736576936524,0.007017099485509369,True,1.9917176826634448,-2.880399684837794
ENSRNOG00000000045,-1.7765675395138545,-1.8660290643575803,0.05830075440132426,0.06434441837491847,True,-0.08946152484372583,-1.8212983019357174
ENSRNOG00000000046,-2.0577199223591394,-2.1180624204734624,0.00254429928838682,0.027918024601034798,True,-0.06034249811432302,-2.0878911714163007
